		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110001010   19   24   22   26   20   20   19   23  4.550635 0.804346 SUCCESS 100
110010000   25   17   11   20   24   15   25   23 14.606770 0.067258 SUCCESS 101
110010010   29   27   22   33   22   20   24   15  9.374482 0.311696 SUCCESS 102
110010100   23   28   26   18   30   25   24   31  5.673353 0.683768 SUCCESS 103
110011000   19   24   16   17   25   19   24   24  7.812210 0.452026 SUCCESS 104
110011010   20   25   22   31   19   26   26   24  4.383816 0.820941 SUCCESS 105
110100000   30   28   18   19   21   26   23   30  6.858297 0.551996 SUCCESS 106
110100010   25   25   25   16   29   24   23   24  4.027671 0.854618 SUCCESS 107
110100100   27   23   26   27   16   25   27   34  7.961155 0.437274 SUCCESS 108
110101000   29   25   20   26   30   19   24   33  7.546094 0.479015 SUCCESS 109
110101010   20   16   24   18   31   23   30   23  8.890575 0.351611 SUCCESS 110
110101100   22   23   24   28   32   22   14   20  8.975308 0.344383 SUCCESS 111
110110000   18    8   26   26   19   31   23   22 16.752247 0.032795 SUCCESS 112
110110010   23   36   25   17   25   18   35   23 14.714011 0.064951 SUCCESS 113
110110100   24   28   31   25   22   27   32   31  7.242907 0.510666 SUCCESS 114
110111000   26   21   22   23   33   22   24   22  4.553283 0.804079 SUCCESS 115
110111010   25   31   30   38   27   20   23   24 12.224967 0.141445 SUCCESS 116
110111100   21   26   29   15   21   25   19   23  7.059539 0.530223 SUCCESS 117
111000000   29   19   30   27   23   29   24   23  4.817413 0.776901 SUCCESS 118
111000010   31   33   21   28   16   25   24   19 10.264845 0.246927 SUCCESS 119
111000100   25   21   19   16   27   23   28   16  8.635051 0.374011 SUCCESS 120
111000110   22   31   23   28   32   21   25   24  5.681959 0.682808 SUCCESS 121
111001000   24   27   19   17   26   28   28   19  6.289656 0.614821 SUCCESS 122
111001010   26   24   26   27   26   19   26   34  5.868637 0.661944 SUCCESS 123
111001100   20   25   20   19   25   20   24   18  5.465491 0.706860 SUCCESS 124
111010000   27   27   14   23   23   21   28   19  7.593756 0.474124 SUCCESS 125
111010010   24   27   24   25   16   25   20   25  4.154109 0.842958 SUCCESS 126
111010100   32   23   23   26   28   15   17   29 10.230422 0.249224 SUCCESS 127
111010110   22   17   26   31   29   25   17   23  7.832069 0.450044 SUCCESS 128
111011000   24   19   27   27   24   20   24   19  3.882698 0.867549 SUCCESS 129
111011010   25   23   32   34   20   22   30   34 12.750579 0.120724 SUCCESS 130
111011100   20   24   20   24   28   28   21   22  3.484848 0.900362 SUCCESS 131
111100000   28   18   27   26   25   30   23   26  4.215674 0.837159 SUCCESS 132
111100010   20   19   23   21   18   21   24   20  5.676663 0.683398 SUCCESS 133
111100100   23   27   23   21   25   29   24   20  2.680542 0.952780 SUCCESS 134
111100110   26   22   23   17   21   33   17   19  9.931869 0.269840 SUCCESS 135
111101000   21   27   28   19   28   25   25   20  3.960149 0.860701 SUCCESS 136
111101010   31   19   23   22   30   17   25   28  7.620898 0.471349 SUCCESS 137
111101100   23   21   21   22   30   25   31   27  4.782990 0.780499 SUCCESS 138
111101110   28   28   24   34   29   30   21   20  8.547007 0.381937 SUCCESS 139
111110000   31   22   29   25   20   26   32   25  6.394249 0.603160 SUCCESS 140
111110010   25   20   24   17   27   18   27   23  5.551549 0.697322 SUCCESS 141
111110100   22   28   25   20   27   24   29   15  6.561068 0.584642 SUCCESS 142
111110110   30   21   24   24   30   20   26   28  4.639341 0.795336 SUCCESS 143
111111000   27   23   29   24   24   21   25   24  1.791504 0.986750 SUCCESS 144
111111010   19   16   27   20   24   17   27   27  8.228595 0.411465 SUCCESS 145
111111100   21   22   24   24   26   23   24   27  1.231469 0.996321 SUCCESS 146
111111110   13   14   23   19   30   27   22   31 15.109213 0.057056 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   32   19   27   20   19   18   24   27  8.051846 0.428422 SUCCESS   0
000000011   28   20   29   17   23   16   28   20  9.025619 0.340139 SUCCESS   1
000000101   29   21   26   20   16   21   22   24  6.042738 0.642444 SUCCESS   2
000000111   23   25   32   26   19   20   22   15  8.695291 0.368649 SUCCESS   3
000001001   21   26   28   16   30   28   27   16  9.289749 0.318446 SUCCESS   4
000001011   26   28   30   31   15   22   20   21  9.128888 0.331540 SUCCESS   5
000001101   29   20   26   22   16   17   30   37 15.433583 0.051243 SUCCESS   6
000001111   29   24   35   28   16   21   20   27 10.799063 0.213347 SUCCESS   7
000010001   28   22   21   23   19   18   29   29  6.128795 0.632807 SUCCESS   8
000010011   23   26   27   22   31   26   35   27  7.725490 0.460734 SUCCESS   9
000010101   30   26   28   28   19   25   27   22  4.317618 0.827390 SUCCESS  10
000010111   27   28   29   25   22   21   17   31  6.647125 0.575139 SUCCESS  11
000011001   20   24   24   25   30   23   26   17  4.688327 0.790309 SUCCESS  12
000011011   26   21   27   26   17   27   28   32  6.596815 0.580690 SUCCESS  13
000011101   18   28   20   23   24   24   26   18  5.043148 0.752955 SUCCESS  14
000011111   39   23   28   28   22   27   21   24 11.241265 0.188400 SUCCESS  15
000100011   27   26   22   20   21   20   26   26  2.985053 0.935292 SUCCESS  16
000100101   20   30   24   23   38   20   32   21 13.833578 0.086208 SUCCESS  17
000100111   24   22   28   25   26   34   28   30  6.708689 0.568364 SUCCESS  18
000101001   16   25   21   26   23   22   23   30  5.340377 0.720653 SUCCESS  19
000101011   20   19   20   23   18   22   30   25  6.279727 0.615930 SUCCESS  20
000101101   14   25   28   29   24   20   22   17  9.432074 0.307167 SUCCESS  21
000101111   23   29   27   18   26   30   18   21  6.663013 0.573388 SUCCESS  22
000110011   29   23   26   36   30   23   28   15 12.495055 0.130445 SUCCESS  23
000110101   29   25   32   21   26   12   22   31 12.561253 0.127864 SUCCESS  24
000110111   22   28   29   35   22   20   23   29  8.495373 0.386634 SUCCESS  25
000111001   26   20   27   30   25   25   29   23  3.555018 0.894878 SUCCESS  26
000111011   21   21   24   22   22   35   17   16 11.541804 0.172848 SUCCESS  27
000111101   20   24   28   15   18   32   18   35 15.797010 0.045379 SUCCESS  28
000111111   40   32   29   27   25   23   22   14 18.867272 0.015586 SUCCESS  29
001000011   29   24   31   17   21   33   36   29 15.292581 0.053700 SUCCESS  30
001000101   23   23   21   27   27   22   22   21  2.205241 0.974064 SUCCESS  31
001000111   30   24   28   29   18   25   21   27  5.308602 0.724140 SUCCESS  32
001001011   22   28   19   21   32   20   28   19  7.569263 0.476634 SUCCESS  33
001001101   30   28   18   31   29   26   25   17  8.799884 0.359458 SUCCESS  34
001001111   24   26   27   23   33   33   23   29  7.734096 0.459866 SUCCESS  35
001010011   17   27   15   33   22   22   22   26 10.322437 0.243120 SUCCESS  36
001010101   29   29   26   28   28   19   24   22  4.487085 0.810724 SUCCESS  37
001010111   25   24   23   18   21   31   24   21  4.671116 0.792079 SUCCESS  38
001011011   20   27   32   25   24   22   18   22  5.798467 0.669795 SUCCESS  39
001011101   15   35   19   26   23   22   14   28 15.304497 0.053488 SUCCESS  40
001011111   23   29   28   31   30   22   22   22  5.436364 0.710080 SUCCESS  41
001100101   19   24   21   32   25   31   17   24  8.366287 0.398532 SUCCESS  42
001100111   27   22   21   24   24   20   31   24  3.705949 0.882632 SUCCESS  43
001101011   28   30   24   16   22   22   36   30 12.393110 0.134507 SUCCESS  44
001101101   32   22   22   25   32   25   25   28  5.979188 0.649563 SUCCESS  45
001101111   22   18   20   36   31   26   20   30 12.604282 0.126210 SUCCESS  46
001110101   24   19   19   30   27   16   21   22  7.813534 0.451894 SUCCESS  47
001110111   30   19   21   19   23   26   20   20  6.118865 0.633919 SUCCESS  48
001111011   22   25   24   17   22   24   25   30  4.179927 0.840536 SUCCESS  49
001111101   15   25   24   24   20   36   30   31 13.468827 0.096705 SUCCESS  50
001111111   37   24   32   35   22   25   22   21 14.936436 0.060393 SUCCESS  51
010000011   25   19   23   18   19   28   24   31  6.704718 0.568800 SUCCESS  52
010000111   26   23   25   20   19   33   34   24  9.308284 0.316961 SUCCESS  53
010001011   19   29   23   35   24   26   23   19  8.409316 0.394541 SUCCESS  54
010001111   28   24   26   17   19   20   31   28  7.434219 0.490588 SUCCESS  55
010010011   27   24   17   26   32   28   23   14 10.382677 0.239187 SUCCESS  56
010010111   23   34   22   22   29   27   30   27  7.276006 0.507168 SUCCESS  57
010011011   27   27   26   30   32   25   25   25  4.505621 0.808871 SUCCESS  58
010011111   21   30   25   29   22   38   27   28 11.649045 0.167563 SUCCESS  59
010100011   32   19   32   23   23   28   21   18  9.069971 0.336428 SUCCESS  60
010100111   23   27   12   29   27   24   24   21  8.568853 0.379961 SUCCESS  61
010101011   28   28   27   27   31   19   27   21  5.529703 0.699747 SUCCESS  62
010101111   25   22   27   19   19   26   26   24  3.239253 0.918458 SUCCESS  63
010110011   30   30   15   22   18   20   26   27  9.594259 0.294666 SUCCESS  64
010110111   20   26   28   24   23   26   29   20  3.392833 0.907346 SUCCESS  65
010111011   22   26   18   29   23   25   22   21  3.815176 0.873402 SUCCESS  66
010111111   26   29   29   26   26   25   20   25  2.970490 0.936196 SUCCESS  67
011000111   16   18   16   31   26   32   21   23 12.686367 0.123106 SUCCESS  68
011001111   27   28   27   21   27   20   25   23  2.816910 0.945317 SUCCESS  69
011010111   28   27   21   21   24   26   29   28  3.376945 0.908527 SUCCESS  70
011011111   28   27   29   28   30   23   18   28  5.979188 0.649563 SUCCESS  71
011101111   25   19   19   21   22   28   25   20  4.602270 0.799116 SUCCESS  72
011111111   32   20   30   29   11   22   21   25 13.848142 0.085810 SUCCESS  73
100000000   32   19   27   20   19   18   24   27  8.051846 0.428422 SUCCESS  74
100010000   18   21   21   26   31   27   22   26  5.307278 0.724285 SUCCESS  75
100100000   18   20   33   21   14   20   27   25 11.880738 0.156605 SUCCESS  76
100101000   26   23   31   24   19   30   17   19  8.162397 0.417770 SUCCESS  77
100110000   24   16   30   27   22   26   28   22  5.756763 0.674457 SUCCESS  78
100111000   16   25   14   23   32   22   34   26 14.373754 0.072529 SUCCESS  79
101000000   25   27   21   27   30   21   18   19  5.865989 0.662240 SUCCESS  80
101000100   17   23   26   21   31   23   26   25  5.053078 0.751888 SUCCESS  81
101001000   23   24   27   23   21   22   20   26  2.120507 0.977093 SUCCESS  82
101001100   27   24   22   31   17   24   15   24  8.458302 0.390028 SUCCESS  83
101010000   33   32   28   24   27   21   22   29  8.055818 0.428037 SUCCESS  84
101010100   28   26   23   32   25   17   22   27  6.053991 0.641184 SUCCESS  85
101011000   26   17   20   29   35   16   21   29 13.280825 0.102546 SUCCESS  86
101011100   25   20   20   25   28   29   28   29  4.563213 0.803076 SUCCESS  87
101100000   20   28   24   23   13   20   25   23  7.881056 0.445175 SUCCESS  88
101100100   20   28   27   19   25   26   21   24  3.510665 0.898360 SUCCESS  89
101101000   13   27   20   27   31   25   26   19 10.102660 0.257894 SUCCESS  90
101101100   20   22   26   27   24   17   19   28  5.568760 0.695411 SUCCESS  91
101110000   38   18   33   20   26   21   28   27 14.960930 0.059910 SUCCESS  92
101110100   27   28   20   17   24   27   22   29  5.409223 0.713075 SUCCESS  93
101111000   12   26   27   31   27   32   35   19 17.485721 0.025430 SUCCESS  94
101111100   21   31   25   23   26   22   28   24  3.342522 0.911062 SUCCESS  95
110000000   34   23   30   16   21   23   29   21 10.264845 0.246927 SUCCESS  96
110000010   24   33   27   30   20   25   33   33 11.861540 0.157489 SUCCESS  97
110000100   27   22   26   23   24   18   41   27 14.426712 0.071299 SUCCESS  98
110001000   18   28   18   23   32   31   25   25  8.426527 0.392952 SUCCESS  99
110001010   20   17   23   23   15   22   26   20  8.218665 0.412407 SUCCESS 100
110010000   27   23   34   21   24   26   29   23  5.860031 0.662907 SUCCESS 101
110010010   28   22   20   31   28   20   26   29  5.834214 0.665796 SUCCESS 102
110010100   24   28   19   25   16   34   14   20 14.101018 0.079170 SUCCESS 103
110011000   26   17   29   37   16   28   29   21 14.976817 0.059598 SUCCESS 104
110011010   35   34   22   31   28   28   24   18 13.597913 0.092867 SUCCESS 105
110100000   22   29   19   20   25   24   25   18  4.967021 0.761095 SUCCESS 106
110100010   20   21   22   14   29   25   26   22  7.398472 0.494313 SUCCESS 107
110100100   26   25   25   19   23   26   21   17  4.373887 0.821914 SUCCESS 108
110101000   27   27   21   33   30   18   20   24  8.087593 0.424961 SUCCESS 109
110101010   27   25   24   31   28   17   25   26  5.147741 0.741675 SUCCESS 110
110101100   29   19   23   25   20   15   23   29  7.771829 0.456070 SUCCESS 111
110110000   23   34   22   24   23   23   24   30  5.740875 0.676232 SUCCESS 112
110110010   18   24   20   21   22   27   19   20  5.634958 0.688046 SUCCESS 113
110110100   20   33   22   20   30   19   18   11 16.921714 0.030935 SUCCESS 114
110111000   31   26   25   23   20   28   19   19  5.891806 0.659350 SUCCESS 115
110111010   17   19   19   21   25   27   22   29  6.720605 0.567055 SUCCESS 116
110111100   17   26   27   32   20   25   30   26  7.435543 0.490450 SUCCESS 117
111000000   28   27   30   20   25   25   25   26  3.139956 0.925270 SUCCESS 118
111000010   25   26   24   19   16   23   37   25 11.179701 0.191724 SUCCESS 119
111000100   16   21   15   29   37   31   22   25 16.950179 0.030632 SUCCESS 120
111000110   15   32   28   25   26   35   27   20 12.732044 0.121408 SUCCESS 121
111001000   35   23   30   30   29   20   27   27  9.793515 0.279819 SUCCESS 122
111001010   27   30   21   21   29   29   24   26  4.504297 0.809003 SUCCESS 123
111001100   26   17   19   30   13   27   24   26 10.898360 0.207525 SUCCESS 124
111010000   21   30   24   21   20   29   33   22  7.409726 0.493139 SUCCESS 125
111010010   25   29   32   19   25   26   24   21  5.215263 0.734340 SUCCESS 126
111010100   22   26   22   31   29   30   15   21  8.900505 0.350759 SUCCESS 127
111010110   24   20   16   24   25   23   16   27  7.194583 0.515792 SUCCESS 128
111011000   19   32   18   24   20   25   26   20  7.187301 0.516566 SUCCESS 129
111011010   23   23   24   19   26   26   21   17  4.432803 0.816118 SUCCESS 130
111011100   28   25   30   21   27   19   14   19  9.720698 0.285179 SUCCESS 131
111100000   23   29   28   31   19   27   29   30  7.123751 0.523342 SUCCESS 132
111100010   17   16   16   22   34   29   25   27 13.644252 0.091522 SUCCESS 133
111100100   34   21   28   34   31   27   19   31 14.064609 0.080097 SUCCESS 134
111100110   22   30   24   33   21   32   22   28  8.445062 0.391245 SUCCESS 135
111101000   25   25   28   26   25   20   35   24  6.292304 0.614526 SUCCESS 136
