		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110011000   30   30   20   25   29   25   32   29  7.751308 0.458133 SUCCESS 104
110011010   22   19   26   21   24   20   26   17  5.330448 0.721744 SUCCESS 105
110100000   23   21   22   22   18   24   22   30  4.373887 0.821914 SUCCESS 106
110100010   32   29   32   24   25   33   30   22 10.523017 0.230217 SUCCESS 107
110100100   23   25   28   24   32   21   27   22  4.122334 0.845921 SUCCESS 108
110101000   23   25   24   24   23   25   27   14  5.077571 0.749254 SUCCESS 109
110101010   17   22   21   25   26   21   16   31  8.500007 0.386211 SUCCESS 110
110101100   24   20   25   31   23   15   30   23  7.925408 0.440790 SUCCESS 111
110110000   22   28   17   19   21   25   21   28  5.890482 0.659498 SUCCESS 112
110110010   31   22   20   22   21   29   29   14 10.017926 0.263770 SUCCESS 113
110110100   24   20   29   24   25   22   30   21  3.807894 0.874027 SUCCESS 114
110111000   28   26   19   28   28   20   21   27  4.587706 0.800596 SUCCESS 115
110111010   19   22   28   17   30   29   21   31  8.909110 0.350021 SUCCESS 116
110111100   34   19   17   19   18   26   25   24 10.559426 0.227933 SUCCESS 117
111000000   26   30   17   20   29   25   25   15  9.246720 0.321913 SUCCESS 118
111000010   27   26   28   22   22   20   29   30  4.478480 0.811582 SUCCESS 119
111000100   30   31   25   28   24   26   23   23  4.021713 0.855159 SUCCESS 120
111000110   21   21   25   20   15   31   25   26  7.526235 0.481060 SUCCESS 121
111001000   34   18   23   20   28   28   21   31  9.977546 0.266605 SUCCESS 122
111001010   22   27   16   22   21   25   20   27  5.373476 0.717014 SUCCESS 123
111001100   34   31   17   32   30   16   20   27 15.943308 0.043199 SUCCESS 124
111010000   23   27   20   23   15   24   18   30  8.084945 0.425217 SUCCESS 125
111010010   26   30   28   23   26   24   22   23  2.512400 0.961150 SUCCESS 126
111010100   19   28   35   25   31   24   28   20  9.783586 0.280545 SUCCESS 127
111010110   18   16   28   28   18   19   25   26  8.915068 0.349511 SUCCESS 128
111011000   24   21   23   17   19   25   28   27  4.984232 0.759260 SUCCESS 129
111011010   27   21   31   22   25   20   27   21  4.477156 0.811714 SUCCESS 130
111011100   34   28   25   32   26   21   28   30  9.395665 0.310025 SUCCESS 131
111100000   25   25   22   21   36   24   23   20  7.375303 0.496734 SUCCESS 132
111100010   26   27   31   30   21   22   27   29  5.487999 0.704369 SUCCESS 133
111100100   30   17   18   19   22   25   15   29 11.515987 0.174141 SUCCESS 134
111100110   30   25   14   31   26   16   19   29 13.000807 0.111822 SUCCESS 135
111101000   21   29   22   30   16   30   27   24  7.570587 0.476498 SUCCESS 136
111101010   18   26   28   19   27   22   20   25  4.992838 0.758341 SUCCESS 137
111101100   28   26   24   20   24   26   27   25  1.902054 0.983869 SUCCESS 138
111101110   37   29   26   26   24   22   24   29  8.996492 0.342592 SUCCESS 139
111110000   20   24   22   20   30   20   26   34  8.053170 0.428294 SUCCESS 140
111110010   19   24   15   23   22   26   19   21  7.142948 0.521291 SUCCESS 141
111110100   18   30   26   22   17   25   26   21  6.348572 0.608248 SUCCESS 142
111110110   27   22   29   19   25   24   21   25  3.188943 0.921947 SUCCESS 143
111111000   23   28   29   17   30   35   22   32 12.631423 0.125176 SUCCESS 144
111111010   17   22   24   24   20   21   22   29  5.025937 0.754800 SUCCESS 145
